,location,price,bedrooms,bathrooms,garage,area,preference
218,Puerta del Valle,27000,3,3,2,100,1
219,Loma Blanca,30000,3,2,2,423,1
220,Cd Bugambilias,23000,3,3,2,320,1
221,Jardines Universidad,21000,4,3,2,133,1
222,Solares Residencial,25000,3,3,2,224,1
223,Misión San Isidro,15000,3,2,2,110,1
224,Victoria,23000,4,2,3,225,1
225,Coto Naciones Unidas,24000,3,3,2,150,1
226,Solares Residencial,26000,3,3,2,203,1
227,Zapopan,15800,3,2,2,105,1
228,Zapopan,12500,3,2,2,80,1
229,Zapopan,60000,4,4,4,440,0
230,Arenales Tapatíos,11900,3,3,2,83,1
231,Jardines del Sol,13800,3,2,2,160,1
232,Nuevo México,20000,3,3,2,160,1
233,México,12500,3,2,1,78,1
234,La Joya 1,35000,3,4,4,428,1
235,Rinconada de la Calma,10700,2,2,2,90,1
236,Zapopan,7650,3,2,2,90,1
237,Linda Vista,13000,2,2,1,80,1
238,Jardines del Valle,4500,2,1,1,50,1
239,Rinconada del Parque,17900,2,2,2,130,1
240,Luna Bosque,10500,3,2,2,128,1
241,Zapopan,40000,4,4,3,349,1
242,Valle Real,27000,2,2,2,121,1
243,San Miguel de la Colina,21000,2,2,2,137,1
244,San Miguel de la Colina,28000,2,2,2,145,1
245,Valle Real,18500,2,2,2,115,1
246,San Miguel de la Colina,23000,2,2,2,145,1
247,Nuevo México,10500,2,2,2,85,1
248,Arboledas,40000,6,4,4,282,1
249,Zapopan,8500,3,3,2,99,1
250,Cd de los Niños,10800,2,1,1,90,1
252,La Joya 1,32000,3,3,3,334,1
254,Cd Bugambilias,33000,4,4,4,465,1
255,Plaza Guadalupe,19000,3,2,3,160,1
256,Heroes Nacionales,14700,3,2,2,90,1
257,Cd del Sol,35000,4,4,4,400,1
258,La Estancia,12500,2,2,2,90,1
259,Las Cañadas,25000,3,2,3,600,1
260,Patria Universidad,16000,3,2,2,79,1
261,Los Robles,6600,3,1,1,81,1
262,Jardines del Sol,39500,3,3,3,436,1
263,Solares Residencial,26500,3,4,2,185,1
264,Solares Residencial,25000,4,4,3,253,1
265,Zapopan,24000,3,2,2,144,1
266,Altamira,140000,4,4,4,850,0
267,Puerta Plata,75000,4,4,2,439,0
268,Altamira,85000,4,3,4,850,0
